"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 07 12:35:57 GMT 2024","Mon Oct 07 12:35:58 GMT 2024","841","Test product page functionalities and information.","","","","","Assert if product price matches with the price in inventory list.",""
"passed","Mon Oct 07 12:35:56 GMT 2024","Mon Oct 07 12:35:57 GMT 2024","937","Test product page functionalities and information.","","","","","Assert if product description matches with the name in inventory list.",""
"passed","Mon Oct 07 12:35:25 GMT 2024","Mon Oct 07 12:35:26 GMT 2024","876","Assert if inventory listing is working correctly.","","","","","Assert if sorting items descending in the list by name returns the correct list.",""
"passed","Mon Oct 07 12:35:37 GMT 2024","Mon Oct 07 12:35:38 GMT 2024","1315","Test navigation links on hamburger menu.","","","","","Assert menu links consistency.",""
"passed","Mon Oct 07 12:35:38 GMT 2024","Mon Oct 07 12:35:39 GMT 2024","1280","Test navigation links on hamburger menu.","","","","","Assert if the ""Logout"" menu option is logging out the user and redirecting to login form.",""
"passed","Mon Oct 07 12:35:52 GMT 2024","Mon Oct 07 12:35:53 GMT 2024","1220","Test navigation links on hamburger menu.","Go to shopping cart and them try to come back to products listing.","","","","Assert if ""All Items"" menu option is working correctly.",""
"passed","Mon Oct 07 12:35:27 GMT 2024","Mon Oct 07 12:35:28 GMT 2024","864","Assert if inventory listing is working correctly.","","","","","Assert if sorting items descending in the list by price returns the correct list.",""
"passed","Mon Oct 07 12:35:21 GMT 2024","Mon Oct 07 12:35:23 GMT 2024","1336","Assert if inventory listing is working correctly.","","","","","Assert if ""Add to cart"" button is working correctly.",""
"passed","Mon Oct 07 12:35:20 GMT 2024","Mon Oct 07 12:35:21 GMT 2024","1439","Assert if inventory listing is working correctly.","","","","","Assert if the user sees 6 items in the listing.",""
"skipped","Mon Oct 07 12:35:52 GMT 2024","Mon Oct 07 12:35:53 GMT 2024","1252","Test navigation links on hamburger menu.","","","","","Assert if the ""Reset App State"" menu option clears the shopping cart and reset the page DOM.",""
"skipped","Mon Oct 07 12:36:00 GMT 2024","Mon Oct 07 12:36:00 GMT 2024","22","Test product page functionalities and information.","","","","","Assert if ""Reset App State"" function resets the app state inside the product page.",""
"passed","Mon Oct 07 12:35:58 GMT 2024","Mon Oct 07 12:35:59 GMT 2024","906","Test product page functionalities and information.","","","","","Assert if ""Add to cart"" button inside product page is working correctly.",""
"passed","Mon Oct 07 12:35:39 GMT 2024","Mon Oct 07 12:35:51 GMT 2024","12034","Test navigation links on hamburger menu.","","","","","Assert if the ""About"" menu option is redirecting to the correct website.",""
"passed","Mon Oct 07 12:35:30 GMT 2024","Mon Oct 07 12:35:31 GMT 2024","1133","Test application login scenarios","","","","","Login with a valid user and check if the products page is shown correctly.",""
"passed","Mon Oct 07 12:35:24 GMT 2024","Mon Oct 07 12:35:25 GMT 2024","861","Assert if inventory listing is working correctly.","","","","","Assert if sorting items ascending in the list by name returns the correct list.",""
"passed","Mon Oct 07 12:35:26 GMT 2024","Mon Oct 07 12:35:27 GMT 2024","856","Assert if inventory listing is working correctly.","","","","","Assert if sorting items ascending in the list by price returns the correct list.",""
"passed","Mon Oct 07 12:35:23 GMT 2024","Mon Oct 07 12:35:24 GMT 2024","1670","Assert if inventory listing is working correctly.","","","","","Assert if ""Remove"" button removes the item from the cart counter when clicked.",""
"passed","Mon Oct 07 12:35:31 GMT 2024","Mon Oct 07 12:35:35 GMT 2024","3647","Test application login scenarios","","","","","Login with invalid usernames to check error messages.",""
"passed","Mon Oct 07 12:35:55 GMT 2024","Mon Oct 07 12:35:56 GMT 2024","1208","Test product page functionalities and information.","","","","","Assert if product name matches with the name in inventory list.",""
"passed","Mon Oct 07 12:35:59 GMT 2024","Mon Oct 07 12:36:00 GMT 2024","986","Test product page functionalities and information.","","","","","Assert if ""Remove"" button inside product page removes the added item from shopping cart.",""
