"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 04 14:26:39 GMT 2024","Fri Oct 04 14:26:40 GMT 2024","1287","Test navigation links on hamburger menu.","","","","","Assert menu links consistency.",""
"passed","Fri Oct 04 14:26:54 GMT 2024","Fri Oct 04 14:26:56 GMT 2024","1225","Test navigation links on hamburger menu.","Go to shopping cart and them try to come back to products listing.","","","","Assert if ""All Items"" menu option is working correctly.",""
"passed","Fri Oct 04 14:26:33 GMT 2024","Fri Oct 04 14:26:37 GMT 2024","3597","Test application login scenarios","","","","","Login with invalid usernames to check error messages.",""
"passed","Fri Oct 04 14:26:28 GMT 2024","Fri Oct 04 14:26:29 GMT 2024","854","Assert if inventory listing is working correctly.","","","","","Assert if sorting items ascending in the list by price returns the correct list.",""
"passed","Fri Oct 04 14:26:42 GMT 2024","Fri Oct 04 14:26:54 GMT 2024","12287","Test navigation links on hamburger menu.","","","","","Assert if the ""About"" menu option is redirecting to the correct website.",""
"passed","Fri Oct 04 14:26:22 GMT 2024","Fri Oct 04 14:26:24 GMT 2024","1734","Assert if inventory listing is working correctly.","","","","","Assert if the user sees 6 items in the listing.",""
"passed","Fri Oct 04 14:26:24 GMT 2024","Fri Oct 04 14:26:25 GMT 2024","1305","Assert if inventory listing is working correctly.","","","","","Assert if ""Add to cart"" button is working correctly.",""
"passed","Fri Oct 04 14:26:25 GMT 2024","Fri Oct 04 14:26:27 GMT 2024","1643","Assert if inventory listing is working correctly.","","","","","Assert if ""Remove"" button removes the item from the cart counter when clicked.",""
"passed","Fri Oct 04 14:26:40 GMT 2024","Fri Oct 04 14:26:42 GMT 2024","1230","Test navigation links on hamburger menu.","","","","","Assert if the ""Logout"" menu option is logging out the user and redirecting to login form.",""
"passed","Fri Oct 04 14:26:27 GMT 2024","Fri Oct 04 14:26:27 GMT 2024","850","Assert if inventory listing is working correctly.","","","","","Assert if sorting items ascending in the list by name returns the correct list.",""
"passed","Fri Oct 04 14:26:32 GMT 2024","Fri Oct 04 14:26:33 GMT 2024","1103","Test application login scenarios","","","","","Login with a valid user and check if the products page is shown correctly.",""
"skipped","Fri Oct 04 14:26:54 GMT 2024","Fri Oct 04 14:26:56 GMT 2024","1258","Test navigation links on hamburger menu.","","","","","Assert if the ""Reset App State"" menu option clears the shopping cart and reset the page DOM.",""
"passed","Fri Oct 04 14:26:28 GMT 2024","Fri Oct 04 14:26:28 GMT 2024","855","Assert if inventory listing is working correctly.","","","","","Assert if sorting items descending in the list by name returns the correct list.",""
"passed","Fri Oct 04 14:26:29 GMT 2024","Fri Oct 04 14:26:30 GMT 2024","853","Assert if inventory listing is working correctly.","","","","","Assert if sorting items descending in the list by price returns the correct list.",""
