"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 04 15:00:04 GMT 2024","Fri Oct 04 15:00:06 GMT 2024","1645","Assert if inventory listing is working correctly.","","","","","Assert if ""Remove"" button removes the item from the cart counter when clicked.",""
"passed","Fri Oct 04 15:00:08 GMT 2024","Fri Oct 04 15:00:09 GMT 2024","862","Assert if inventory listing is working correctly.","","","","","Assert if sorting items ascending in the list by price returns the correct list.",""
"passed","Fri Oct 04 15:00:18 GMT 2024","Fri Oct 04 15:00:19 GMT 2024","1217","Test navigation links on hamburger menu.","","","","","Assert menu links consistency.",""
"passed","Fri Oct 04 15:00:01 GMT 2024","Fri Oct 04 15:00:03 GMT 2024","1704","Assert if inventory listing is working correctly.","","","","","Assert if the user sees 6 items in the listing.",""
"passed","Fri Oct 04 15:00:19 GMT 2024","Fri Oct 04 15:00:21 GMT 2024","1249","Test navigation links on hamburger menu.","","","","","Assert if the ""Logout"" menu option is logging out the user and redirecting to login form.",""
"passed","Fri Oct 04 15:00:13 GMT 2024","Fri Oct 04 15:00:16 GMT 2024","3643","Test application login scenarios","","","","","Login with invalid usernames to check error messages.",""
"passed","Fri Oct 04 15:00:09 GMT 2024","Fri Oct 04 15:00:10 GMT 2024","874","Assert if inventory listing is working correctly.","","","","","Assert if sorting items descending in the list by price returns the correct list.",""
"passed","Fri Oct 04 15:00:06 GMT 2024","Fri Oct 04 15:00:07 GMT 2024","859","Assert if inventory listing is working correctly.","","","","","Assert if sorting items ascending in the list by name returns the correct list.",""
"passed","Fri Oct 04 15:00:11 GMT 2024","Fri Oct 04 15:00:13 GMT 2024","1072","Test application login scenarios","","","","","Login with a valid user and check if the products page is shown correctly.",""
"passed","Fri Oct 04 15:00:03 GMT 2024","Fri Oct 04 15:00:04 GMT 2024","1287","Assert if inventory listing is working correctly.","","","","","Assert if ""Add to cart"" button is working correctly.",""
"passed","Fri Oct 04 15:00:07 GMT 2024","Fri Oct 04 15:00:08 GMT 2024","883","Assert if inventory listing is working correctly.","","","","","Assert if sorting items descending in the list by name returns the correct list.",""
